,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID
4380,UEI-IMD-FL-2013-0108,20131011,20131011,1.0,heavy rains ,,Jalgaon ,Maharastra,,,,,5,,,,5 persons died due to house collapse. ,i) Low lying areas flooded. ii) Trees/poles uprooted causing vehicular and  traffic disruption. ,IMD,
4381,UEI-IMD-FL-2013-0109,20130511,20130511,1.0,heavy rains,,Aizawl,Mizoram,,,,,17,,,,17 persons died in a massive landslide. ,Damage to some buildings reported. ,IMD,
4382,UEI-IMD-FL-2013-0110,20130712,20130712,1.0,heavy rains,,Kohima ,Nagaland,,,,,,,,,,i) Landslides disrupt vehicular movement on NH-29. ii) A large number of vehicles were stranded on NH-29 near Phesama village ,IMD,
4383,UEI-IMD-FL-2013-0111,20130802,20130802,1.0,heavy rains,,Bhadrak ,Odisha,,,,,2,,,,2 persons died,,IMD,
4384,UEI-IMD-FL-2013-0112,20130810,20130810,1.0,heavy rains ,,Koraput ,Odisha,,,,,2,,,,2 persons died.,,IMD,
4385,UEI-IMD-FL-2013-0113,20130823,20130823,1.0,heavy rains ,,Bhadrak ,Odisha,,,,,1,,,,One person died,,IMD,
4386,UEI-IMD-FL-2013-0114,20130916,20130916,1.0,heavy rains ,,Cuttack ,Odisha,,,,,1,,,,One person died.,,IMD,
4387,UEI-IMD-FL-2013-0115,20130216,20130216,1.0,heavy rains ,,"Banswara, Dholpur and Sawai Madhopur ",Rajasthan,,,,,3,,,,3 persons died.,,IMD,
4388,UEI-IMD-FL-2013-0116,20130608,20130608,1.0,heavy rains ,,"Kota, Tonk and Udaipur ",Rajasthan,,,,,6,,,,6 persons died due to wall collapse. ,Road traffic/ electricity/ telecommunication services disrupted.,IMD,
4389,UEI-IMD-FL-2013-0117,20130611,20130611,1.0,heavy rains,,Jaipur ,Rajasthan,,,,,1,,,,One person died.,,IMD,
